Age,lx_male_30,lx_female_30
0,100000,100000
1,72835,74529
2,69291,70504
3,66373,67202
4,64014,64538
5,62164,62450
6,60781,60886
7,59838,59811
8,59314,59199
9,58824,58620
10,58367,58073
11,57942,57558
12,57550,57074
13,57189,56620
14,56803,56141
15,56394,55638
16,55962,55112
17,55508,54564
18,55031,53994
19,54518,53400
20,53969,52786
21,53386,52150
22,52769,51494
23,52121,50818
24,51466,50136
25,50804,49447
26,50136,48752
27,49463,48051
28,48785,47345
29,48095,46630
30,47394,45909
31,46684,45181
32,45964,44446
33,45236,43707
34,44493,42965
35,43738,42221
36,42970,41477
37,42191,40732
38,41402,39987
39,40594,39245
40,39770,38505
41,38931,37769
42,38077,37036
43,37212,36307
44,36338,35581
45,35457,34858
46,34570,34138
47,33679,33422
48,32785,32711
49,31866,31973
50,30926,31211
51,29969,30427
52,28997,29625
53,28015,28806
54,27021,27965
55,26018,27105
56,25010,26230
57,24002,25343
58,22995,24446
59,21959,23499
60,20900,22509
61,19826,21486
62,18747,20438
63,17667,19373
64,16579,18292
65,15491,17205
66,14413,16119
67,13353,15044
68,12318,13985
69,11287,12910
70,10274,11833
71,9289,10770
72,8343,9733
73,7443,8733
74,6603,7775
75,5826,6867
76,5111,6017
77,4459,5230
78,3868,4510
79,3334,3857
80,2854,3271
81,2427,2748
82,2049,2287
83,1716,1885
84,1427,1538
85,1177,1241
86,962,991
87,780,782
88,627,610
89,500,469
90,394,357
91,308,268
92,238,198
93,183,145
94,138,104
95,104,74
96,77,52
97,56,36
98,41,24
99,29,16
100,21,11
